Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan","AFG","Median age of private paid employees, by occupation: Teachers","BI.PWK.AGES.PV.TS.MD",,,,,,,,,,,,,,"26",,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees","BI.PWK.AGES.PB.MD",,,,,,,,"37",,,,"32",,"31",,,,,,"32",,,
"Afghanistan","AFG","Median age of public paid employees, by industry: Core Public Administration","BI.PWK.AGES.PB.CA.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by industry: Education","BI.PWK.AGES.PB.ED.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by industry: Health","BI.PWK.AGES.PB.HE.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by industry: Public Administration","BI.PWK.AGES.PB.PA.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by industry: Public Safety","BI.PWK.AGES.PB.PS.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by industry: Social Security","BI.PWK.AGES.PB.SS.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by occupation: Medical workers","BI.PWK.AGES.PB.MW.MD",,,,,,,,,,,,,,"37",,,,,,,,,
"Afghanistan","AFG","Median age of public paid employees, by occupation: Teachers","BI.PWK.AGES.PB.TS.MD",,,,,,,,,,,,,,"32",,,,,,,,,
"Afghanistan","AFG","Medical workers, as a share of public formal employees","BI.EMP.FRML.MW.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Medical workers, as a share of public paid employees","BI.EMP.PWRK.MW.PB.ZS",,,,,,,,,,,,,,"0.0271628554910421",,,,,,,,,
"Afghanistan","AFG","Medical workers, as a share of public total employees","BI.EMP.TOTL.MW.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by industry: Core Public Administration","BI.EMP.TOTL.NO.CA",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by industry: Education","BI.EMP.TOTL.NO.ED",,,,,,,,,,,,,,"1332",,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by industry: Health","BI.EMP.TOTL.NO.HE",,,,,,,,,,,,,,"314",,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by industry: Public Administration","BI.EMP.TOTL.NO.PA",,,,,,,,,,,,,,"2410",,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by industry: Public Safety","BI.EMP.TOTL.NO.PS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by industry: Social Security","BI.EMP.TOTL.NO.SS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by occupation: Medical workers","BI.EMP.TOTL.NO.MW",,,,,,,,,,,,,,"199",,,,,,,,,
"Afghanistan","AFG","Number of employed employees, by occupation: Teachers","BI.EMP.TOTL.NO.TS",,,,,,,,,,,,,,"1144",,,,,,,,,
"Afghanistan","AFG","Number of employed individuals","BI.EMP.TOTL.NO",,,,"16949",,,,"46610",,,,"38229",,"37402",,,,,,"25424",,,
"Afghanistan","AFG","Number of paid employees","BI.PWK.TOTL.NO",,,,"4014",,,,"10209",,,,"12747",,"11837",,,,,,"4152",,,
"Afghanistan","AFG","Number of paid employees, by industry: Core Public Administration","BI.PWK.TOTL.NO.CA",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of paid employees, by industry: Education","BI.PWK.TOTL.NO.ED",,,,,,,,,,,,,,"1294",,,,,,,,,
"Afghanistan","AFG","Number of paid employees, by industry: Health","BI.PWK.TOTL.NO.HE",,,,,,,,,,,,,,"236",,,,,,,,,
"Afghanistan","AFG","Number of paid employees, by industry: Public Administration","BI.PWK.TOTL.NO.PA",,,,,,,,,,,,,,"2315",,,,,,,,,
"Afghanistan","AFG","Number of paid employees, by industry: Public Safety","BI.PWK.TOTL.NO.PS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of paid employees, by industry: Social Security","BI.PWK.TOTL.NO.SS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Number of paid employees, by occupation: Medical workers","BI.PWK.TOTL.NO.MW",,,,,,,,,,,,,,"130",,,,,,,,,
